Dataset, Model, Seed, Aug, BestEpoch, TestAcc, TestLoss, ValAcc, ValLoss, Device, Time
IMDB-BINARY, GCN, 1314, Vanilla, 136, 0.700000, 0.7624, 0.680000, 1.1394, cpu, 275.95
IMDB-BINARY, GCN, 1314, G-Mixup, 6, 0.760000, 0.5180, 0.680000, 0.5254, cpu, 288.35
IMDB-BINARY, GCN, 1314, Subgraph, 36, 0.745000, 1.3456, 0.710000, 1.5321, cpu, 74.98
IMDB-BINARY, GCN, 1314, DropEdge, 3, 0.715000, 0.6268, 0.690000, 0.6022, cpu, 123.67
IMDB-BINARY, GCN, 1314, DropNode, 7, 0.770000, 0.4938, 0.720000, 0.5869, cpu, 81.34
IMDB-BINARY, GCN, 11314, Vanilla, 6, 0.720000, 0.5062, 0.750000, 0.5843, cpu, 247.64
IMDB-BINARY, GCN, 11314, G-Mixup, 26, 0.700000, 0.5075, 0.760000, 0.5935, cpu, 273.34
IMDB-BINARY, GCN, 11314, Subgraph, 36, 0.650000, 0.9828, 0.720000, 0.8099, cpu, 71.36
IMDB-BINARY, GCN, 11314, DropEdge, 12, 0.700000, 0.5500, 0.750000, 0.6274, cpu, 131.24
IMDB-BINARY, GCN, 11314, DropNode, 12, 0.705000, 0.5499, 0.740000, 0.6342, cpu, 84.80
IMDB-BINARY, GCN, 21314, Vanilla, 88, 0.690000, 0.5978, 0.800000, 0.4404, cpu, 247.53
IMDB-BINARY, GCN, 21314, G-Mixup, 17, 0.690000, 0.5186, 0.800000, 0.4449, cpu, 289.67
IMDB-BINARY, GCN, 21314, Subgraph, 16, 0.675000, 0.6850, 0.830000, 0.4940, cpu, 75.84
IMDB-BINARY, GCN, 21314, DropEdge, 22, 0.700000, 0.8106, 0.790000, 0.6954, cpu, 148.78
IMDB-BINARY, GCN, 21314, DropNode, 12, 0.685000, 0.7450, 0.770000, 0.7253, cpu, 78.59
IMDB-BINARY, GCN, 31314, Vanilla, 95, 0.740000, 0.5963, 0.830000, 0.5176, cpu, 228.17
IMDB-BINARY, GCN, 31314, G-Mixup, 98, 0.720000, 0.5986, 0.780000, 0.5257, cpu, 251.54
IMDB-BINARY, GCN, 31314, Subgraph, 21, 0.745000, 0.5796, 0.790000, 0.5683, cpu, 70.72
IMDB-BINARY, GCN, 31314, DropEdge, 6, 0.745000, 0.5164, 0.750000, 0.4887, cpu, 106.05
IMDB-BINARY, GCN, 31314, DropNode, 52, 0.695000, 1.5379, 0.810000, 0.9435, cpu, 74.86
IMDB-BINARY, GCN, 41314, Vanilla, 42, 0.750000, 0.5073, 0.730000, 0.6082, cpu, 226.05
